Fecha,Gasto/Ingreso/Ahorro,Categoria,Subcategoria,Descripcion,Monto,,,Banco,Ubicación,Balance,Activos,,Categoria,Valor,,,,
7/4/2026,Gasto,Personal,Regalo,Padre," $  100,000.00 ",,,,,,,,,,,,,
8/4/2026,Gasto,TC,Laura,Mensualidad," $  42,100.00 ",,,,,,,,,,,,,
8/4/2026,Gasto,TC,Laura,Mensualidad," $  66,250.00 ",,,,,,,,,,,,,
8/4/2026,Gasto,TC,Laura,Mensualidad," $  18,010.00 ",,,,,,,,,,,,,
10/4/2026,Gasto,Personal ,Laura,"Cable, regulador"," $  90,000.00 ",,,,,,,,,,,,,
10/4/2026,Gasto,Personal,Moto,Parqueadero," $  35,000.00 ",,,,,,,,,,,,,
10/4/2026,Gasto,Personal,Retiro,Cajero," $  25,000.00 ",,,,,,,,,,,,,
10/4/2026,Gasto,TC,Personal,Comida," $  72,800.00 ",,,,,,,,,,,,,
10/4/2026,Gasto,TC,Personal,Educación ," $  65,000.00 ",,,,,,,,,,,,,
10/4/2026,Gasto,TC,Moto,Tanqueada," $  34,012.00 ",,,,,,,,,,,,,
11/4/2026,Gasto,Personal,Fulvo,Cancha," $  15,800.00 ",,,,,,,,,,,,,
11/4/2026,Gasto,Personal,Comida,Empanada," $  13,000.00 ",,,,,,,,,,,,,
11/4/2026,Gasto,TC,Personal,Regalo," $  39,500.00 ",,,,,,,,,,,,,
11/4/2026,Gasto,TC,Personal,Comida," $  64,200.00 ",,,,,,,,,,,,,
12/4/2026,Gasto,Personal,Fulvo,Cancha," $  16,000.00 ",,,,,,,,,,,,,
12/4/2026,Gasto,TC,Personal,Helao," $  12,200.00 ",,,,,,,,,,,,,
12/4/2026,Gasto,TC,Moto,Parqueadero," $  9,500.00 ",,,,,,,,,,,,,
13/4/2026,Gasto,Personal,Terapia,Terapia," $  38,000.00 ",,,,,,,,,,,,,
13/4/2026,Gasto,Personal,Comida,Bros," $  32,000.00 ",,,,,,,,,,,,,
13/4/2026,Gasto,TC,Personal,Hamburguesa," $  36,900.00 ",,,,,,,,,,,,,
14/4/2026,Ingreso,Ahorro Lulo,Liquidez,Cashback TC, $  0.63 ,,,,,,,,,,,,,
14/4/2026,Ingreso,Ahorro Lulo,Liquidez,Madre," $  35,000.00 ",,,,,,,,,,,,,
14/4/2026,Ingreso,Ahorro Lulo,Liquidez,Cashback TC, $  62.37 ,,,,,,,,,,,,,
15/4/2026,Gasto,Personal,Fulvo,Cancha," $  15,800.00 ",,,,,,,,,,,,,
19/4/2026,Gasto,Personal,Comida,Postre," $  15,000.00 ",,,,,,,,,,,,,
19/4/2026,Gasto,TC,Personal,Comida," $  58,400.00 ",,,,,,,,,,,,,
19/4/2026,Gasto,TC,Personal,Comida," $  16,000.00 ",,,,,,,,,,,,,
19/4/2026,Gasto,Personal,Personal,Comida," $  15,000.00 ",,,,,,,,,,,,,
21/4/2026,Gasto,TC,Personal,Comida," $  4,800.00 ",,,,,,,,,,,,,
22/4/2026,Gasto,Personal,Servicios,Internet," $  111,670.00 ",,,,,,,,,,,,,
23/4/2026,Gasto,TC,Personal,Comida," $  116,340.00 ",,,,,,,,,,,,,
25/4/2026,Gasto,Personal,Favor,Madre," $  100,000.00 ",,,,,,,,,,,,,
25/4/2026,Gasto,TC,Personal,Comida," $  16,500.00 ",,,,,,,,,,,,,
25/4/2026,Gasto,TC,Moto,Parqueadero," $  12,000.00 ",,,,,,,,,,,,,
26/4/2026,Gasto,TC,Suscripción ,WoW," $  62,844.54 ",,,,,,,,,,,,,
27/4/2026,Gasto,Personal,Terapia,Terapia," $  38,000.00 ",,,,,,,,,,,,,
27/4/2026,Ingreso,Ahorro Lulo,Liquidez,Laura," $  140,000.00 ",,,,,,,,,,,,,
27/4/2026,Gasto,Personal,Favor,Internet," $  93,840.00 ",,,,,,,,,,,,,
27/4/2026,Gasto,Personal,Favor,Datos," $  45,098.60 ",,,,,,,,,,,,,
27/4/2026,Gasto,Personal,Favor,Lui," $  50,400.00 ",,,,,,,,,,,,,
27/4/2026,Gasto,Personal,Comida,Casa," $  41,708.00 ",,,,,,,,,,,,,
27/4/2026,Gasto,TC,Personal,VPN," $  43,785.93 ",,,,,,,,,,,,,
29/4/2026,Ingreso,Ahorro Lulo,Liquidez,Madre," $  400,000.00 ",,,,,,,,,,,,,
29/4/2026,Ahorro,Ahorro Lulo,Bolsillo,Apartamento," $  115,814.19 ",,,,,,,,,,,,,
29/4/2026,Ingreso,Ahorro Davi,Liquidez,Test salario," $  134,316.00 ",,,,,,,,,,,,,
29/4/2026,Gasto,TC,Personal,Comida," $  16,000.00 ",,,,,,,,,,,,,
29/4/2026,Gasto,Personal,Servicios Madre,Gas," $  17,680.00 ",,,,,,,,,,,,,
29/4/2026,Gasto,Personal,Servicios Madre,Luz," $  82,740.00 ",,,,,,,,,,,,,
29/4/2026,Ingreso,Ahorro Lulo,Liquidez,Ajuste," $  15,000.00 ",,,,,,,,,,,,,
29/4/2026,Gasto,TC,Gasto Fijo,Tigo," $  53,900.00 ",,,,,,,,,,,,,
30/4/2026,Ingreso,Ahorro Lulo,Liquidez,Burguer," $  40,000.00 ",,,,,,,,,,,,,
30/4/2026,Gasto,Personal,Tigo,Madre," $  89,900.00 ",,,,,,,,,,,,,
30/4/2026,Ingreso,Ahorro Lulo,Liquidez,Madre," $  110,000.00 ",,,,,,,,,,,,,
30/4/2026,Ingreso,Ahorro Lulo,Liquidez,Mensualidad," $  2,225,000.00 ",,,,,,,,,,,,,
30/4/2026,Ahorro,Ahorro Lulo,Bolsillo,Apartamento," $  1,829,979.00 ",,,,,,,,,,,,,
30/4/2026,Gasto,Personal,Favor ,Servicios Madre," $  15,000.00 ",,,,,,,,,,,,,
30/4/2026,Gasto,Personal,Favor ,Servicios Madre," $  100,960.00 ",,,,,,,,,,,,,
30/4/2026,Gasto,TC,Educacion,Platzi," $  199,975.00 ",,,,,,,,,,,,,
1/5/2026,Ingreso,Ahorro Lulo,Rendimiento,Rendimiento, $  55.12 ,,,,,,,,,,,,,
1/5/2026,Gasto,Liquidez,Impuestos,Retencion Fuente, $  0.54 ,,,,,,,,,,,,,
1/5/2026,Gasto,TC,Personal,Comida," $  91,800.00 ",,,,,,,,,,,,,
1/5/2026,Gasto,TC,Personal,Cita," $  88,000.00 ",,,,,,,,,,,,,
2/5/2026,Gasto,Personal,Mensualidad,Laura," $  870,000.00 ",,,,,,,,,,,,,
3/5/2026,Gasto,Personal,Apartamento,Cuota," $  577,370.00 ",,,,,,,,,,,,,
3/5/2026,Gasto,TC,Educacion,Libro," $  70,000.00 ",,,,,,,,,,,,,
4/5/2026,Gasto,Personal,Educacion,Universidad," $  52,500.00 ",,,,,,,,,,,,,
6/5/2026,Gasto,Personal,Comida,Laura," $  32,000.00 ",,,,,,,,,,,,,
6/5/2026,Gasto,Personal,Comida,Comida," $  34,700.00 ",,,,,,,,,,,,,
6/5/2026,Gasto,Deuda,Pago,TC," $  1,956,804.37 ",,,,,,,,,,,,,
6/5/2026,Gasto,Personal,Fulvo,Cancha," $  18,000.00 ",,,,,,,,,,,,,
7/5/2026,Gasto,Personal,Favor,Madre," $  95,840.00 ",,,,,,,,,,,,,
7/5/2026,Ingreso,Ahorro Lulo,Liquidez,Madre," $  10,000.00 ",,,,,,,,,,,,,
7/5/2026,Ingreso,Ahorro Lulo,Liquidez,Laura," $  32,500.00 ",,,,,,,,,,,,,
7/5/2026,Gasto,TC,Personal,Carne," $  32,400.00 ",,,,,,,,,,,,,
8/5/2026,Gasto,Personal,Terapia,Terapia," $  38,000.00 ",,,,,,,,,,,,,
8/5/2026,Ingreso,Ahorro Lulo,Liquidez,Padre," $  1,800,000.00 ",,,,,,,,,,,,,
9/5/2026,Gasto,Personal,Fulvo,Cancha," $  15,800.00 ",,,,,,,,,,,,,
9/5/2026,Gasto,Personal,Comida,Tamal," $  11,500.00 ",,,,,,,,,,,,,
11/5/2026,Ingreso,Ahorro Lulo,Liquidez,Cashback TC," $  17,833.09 ",,,,,,,,,,,,,
12/5/2026,Gasto,Personal,Educacion,Semestre Universidad," $  3,415,500.00 ",,,,,,,,,,,,,
12/5/2026,Gasto,Personal,Comida,Casa," $  26,300.00 ",,,,,,,,,,,,,
12/5/2026,Gasto,TC,Personal,Comida," $  62,900.00 ",,,,,,,,,,,,,
12/5/2026,Gasto,TC,Personal,Comida," $  32,740.00 ",,,,,,,,,,,,,
14/5/2026,Ingreso,Ahorro Lulo,Liquidez,Cashback TD, $  417.08 ,,,,,,,,,,,,,
14/5/2026,Gasto,TC,Laura,Drogueria," $  48,800.00 ",,,,,,,,,,,,,
